 objectid,premises_name, long, lat, lga
16538,RUBIRAS @ SWALLOWS,144.945664,-37.832792,PORT PHILLIP CITY
16539,RAMBLR MELBOURNE,144.994038,-37.846235,STONNINGTON
16540,MINYIP HOTEL,142.5858428,-36.46108533,YARRIAMBIACK
16541,TERANG CLUB,142.913007,-38.241561,CORANGAMITE
16542,TONGALA BOWLS CLUB,144.953152,-36.254197,CAMPASPE
16543,ROSEBUD BEACH COMMUNITY BOWLS CLUB,144.9032243,-38.3546253,MORNINGTON PENINSULA SHIRE
16544,YALLOURN-NEWBOROUGH R S L SUB-BRANCH,146.2986503,-38.17773742,LATROBE
16545,null,145.186753,-37.959577,GREATER DANDENONG CITY
16546,GRAND TERMINUS HOTEL,147.629446,-37.82753406,EAST GIPPSLAND
16547,HOTEL NEWSTEAD,144.061049,-37.107351,MOUNT ALEXANDER SHIRE
16548,STANHOPE HOTEL/MOTEL,144.990424,-36.44637359,CAMPASPE
16549,VINTAGE CELLARS,144.96655,-37.81306003,MELBOURNE
16550,KEILOR PARK SPORTS CLUB CO-OPERATIVE,144.8546843,-37.7140221,BRIMBANK CITY
16551,METROPOLITAN HOTEL,144.9566718,-37.81289798,MELBOURNE
16552,WHALERS HOTEL,142.481357,-38.38576705,WARRNAMBOOL CITY
16553,TACO BILL GREENSBOROUGH,145.1057108,-37.70287421,BANYULE
16554,NOBLE PARK FOOTBALL SOCIAL CLUB,145.1681095,-37.97685639,GREATER DANDENONG CITY
16555,CHURCHILL-WAVERLEY GOLF AND BOWLS CLUB,145.2573382,-37.96207334,CASEY
16556,WARROOK CATTLE FARM,145.515183,-38.227037,CARDINIA
16557,LOMBARDYS ON HESSE,144.6612686,-38.26669066,QUEENSCLIFFE BOROUGH
16558,PARK STREET - PASTA & WINE,144.960077,-37.835437,PORT PHILLIP CITY
16559,THE PIG & WHISTLE TAVERN MAIN RIDGE,144.958031,-38.385992,MORNINGTON PENINSULA SHIRE
16560,THE WORKERS CLUB,144.977022,-37.805598,YARRA
16561,JALISCO MEXICAN,144.992581,-37.855132,STONNINGTON
16562,SHEPPARTON RSL CLUB,145.400386,-36.374232,GREATER SHEPPARTON CITY
16563,DUMBALK VILLAGE STORE,146.0943425,-38.53358644,SOUTH GIPPSLAND
16564,THREE CROWNS HOTEL,144.949474,-37.80536514,MELBOURNE
16565,LIQUORLAND,145.23528,-37.919504,KNOX CITY
16566,BIRCHES,145.2165623,-37.97506866,GREATER DANDENONG CITY
16567,IRYMPLE HOTEL MOTEL,142.166783,-34.231839,MILDURA
16568,CAULFIELD RETURNED SAILORS' SOLDIERS' & AIRMEN'S CLUB,145.0032967,-37.88399492,GLEN EIRA CITY
16569,RAILWAY CLUB HOTEL,144.9443,-37.833806,PORT PHILLIP CITY
16570,BRUNSWICK FLOUR MILL,144.961442,-37.769641,MORELAND
16571,COMMERCIAL HOTEL GLENGARRY,146.5733556,-38.12537064,LATROBE
16572,THE LAST RUN BAR,147.142628,-36.984335,MOUNT HOTHAM ALPINE RESORT (UNINC)
16573,"BWS - BEER, WINE, SPIRITS",144.319444,-38.19927,GREATER GEELONG
16574,LIQUORLAND,144.9487865,-37.7722852,MORELAND
16575,NORTH SUNSHINE SOCCER CLUB,144.820412,-37.749476,BRIMBANK CITY
