premises_name, suburb, licence_no, address_1, address_2, postcode, long, licence_category, objectid, lga, lat
HOFBRAUHAUS,MELBOURNE,32201157,18-24 MARKET LANE,null,3000,144.969391,On-Premises Licence,15920,MELBOURNE,-37.8117753
HOTEL SOFITEL MELBOURNE,MELBOURNE,31917218,25 COLLINS STREET,null,3000,144.9727837,Late night (general) Licence,16091,MELBOURNE,-37.81392445
AUSTRALIAN CLUB,MELBOURNE,32100076,110 WILLIAM STREET,null,3000,144.9589951,Full Club Licence,16104,MELBOURNE,-37.81680434
KELVIN CLUB,MELBOURNE,32100131,MELBOURNE PLACE,null,3000,144.9687225,Full Club Licence,16106,MELBOURNE,-37.81305619
CITY OF MELBOURNE BOWLS CLUB,WEST MELBOURNE,32100092,FLAGSTAFF GARDENS,DUDLEY STREET,3003,144.953821,Full Club Licence,16115,MELBOURNE,-37.8088714
MARRAKECH BAR,MELBOURNE,32204935,BASEMENT,25 BANK PLACE,3000,144.9601714,Late night (on-premises) Licence,16164,MELBOURNE,-37.81635124
DREAMS GENTLEMAN'S CLUB,MELBOURNE,31907140,1 ELIZABETH STREET,null,3000,144.964618,Late night (general) Licence,16240,MELBOURNE,-37.818037
KILKENNY INN HOTEL,MELBOURNE,31907687,576 - 590 LONSDALE ST,null,3000,144.9549783,Late night (general) Licence,16248,MELBOURNE,-37.81416626
LYCEUM CLUB,MELBOURNE,32100149,RIDGEWAY PLACE,null,3000,144.9723529,Full Club Licence,16277,MELBOURNE,-37.812853
MJOLNER MELBOURNE,MELBOURNE,31920287,GROUND FLOOR & BASEMENT,106-112 HARDWARE LANE,3000,144.9606798,Late night (general) Licence,16286,MELBOURNE,-37.8121384
VINTAGE CELLARS,MELBOURNE,32000242,SHOP 24,215 LITTLE BOURKE STREET,3000,144.96655,Packaged Liquor Licence,16549,MELBOURNE,-37.81306003
METROPOLITAN HOTEL,MELBOURNE,31908879,265 WILLIAM STREET,null,3000,144.9566718,Late night (general) Licence,16551,MELBOURNE,-37.81289798
DUCKBOARD CLUB,MELBOURNE,32100254,27 WINDSOR PLACE,null,3000,144.972498,Full Club Licence,16590,MELBOURNE,-37.811955
GROSSI FLORENTINO,MELBOURNE,32200038,78-84 BOURKE STREET,null,3000,144.9708561,Restaurant and cafe Licence,16597,MELBOURNE,-37.81178254
THE CARLTON HOTEL,MELBOURNE,31917307,197 BOURKE STREET,null,3000,144.967637,Late night (general) Licence,16600,MELBOURNE,-37.813177
